# center_x	center_y	half_width	half_height
6150	116875	450	625
11550	41875	450	625
11550	108125	450	625
8550	50625	450	625
11550	139375	450	625
7050	116875	450	625
12750	54375	450	625
11550	36875	450	625
11550	130625	450	625
11550	89375	450	625
11550	9375	450	625
11550	99375	450	625
11550	71875	450	625
11550	148125	450	625
11550	140625	450	625
11550	123125	450	625
11850	54375	450	625
11550	110625	450	625
16350	100625	450	625
11550	16875	450	625
11850	75625	450	625
11550	6875	450	625
10350	111875	450	625
11850	106875	450	625
1050	95625	450	625
11850	66875	450	625
11850	98125	450	625
9150	86875	450	625
11850	80625	450	625
13050	20625	450	625
11850	10625	450	625
13650	80625	450	625
10650	71875	450	625
12750	10625	450	625
11850	48125	450	625
10950	80625	450	625
12750	80625	450	625
11850	30625	450	625
10650	108125	450	625
11850	29375	450	625
11850	58125	450	625
12150	111875	450	625
11850	33125	450	625
7950	104375	450	625
11850	56875	450	625
11850	64375	450	625
12150	138125	450	625
11850	125625	450	625
9750	73125	450	625
11850	126875	450	625
12150	78125	450	625
12150	44375	450	625
1950	95625	450	625
12150	21875	450	625
12150	134375	450	625
12150	121875	450	625
12150	84375	450	625
12150	39375	450	625
10950	64375	450	625
9750	116875	450	625
12150	79375	450	625
12150	43125	450	625
12150	14375	450	625
11250	84375	450	625
12150	101875	450	625
12150	128125	450	625
13050	84375	450	625
12150	68125	450	625
12150	88125	450	625
11250	21875	450	625
12450	130625	450	625
12150	20625	450	625
8850	104375	450	625
12150	113125	450	625
5550	79375	450	625
10050	100625	450	625
12150	28125	450	625
12150	69375	450	625
9750	128125	450	625
12150	136875	450	625
12450	45625	450	625
12450	55625	450	625
12450	11875	450	625
12450	144375	450	625
12450	93125	450	625
12450	3125	450	625
12450	53125	450	625
12450	114375	450	625
10950	33125	450	625
12450	70625	450	625
12450	6875	450	625
12450	60625	450	625
12450	100625	450	625
12150	73125	450	625
12450	119375	450	625
13050	136875	450	625
12450	50625	450	625
11550	11875	450	625
12450	145625	450	625
13050	69375	450	625
12450	133125	450	625
12450	18125	450	625
9150	14375	450	625
13350	145625	450	625
12450	16875	450	625
12450	25625	450	625
11550	116875	450	625
12750	33125	450	625
12750	135625	450	625
12750	91875	450	625
12750	98125	450	625
12750	99375	450	625
12750	141875	450	625
12750	110625	450	625
12750	46875	450	625
11550	104375	450	625
5850	141875	450	625
13350	11875	450	625
12750	23125	450	625
12750	139375	450	625
11250	44375	450	625
12750	106875	450	625
13650	46875	450	625
12750	24375	450	625
8850	135625	450	625
12750	109375	450	625
12750	49375	450	625
12750	29375	450	625
12750	85625	450	625
12750	625	450	625
12750	125625	450	625
12750	94375	450	625
12750	86875	450	625
13650	49375	450	625
13050	75625	450	625
14850	139375	450	625
55050	6875	450	625
13050	61875	450	625
13050	79375	450	625
13050	73125	450	625
13050	128125	450	625
13050	21875	450	625
13050	71875	450	625
13050	108125	450	625
13350	25625	450	625
13650	98125	450	625
13050	129375	450	625
6750	141875	450	625
13050	63125	450	625
11850	109375	450	625
13050	36875	450	625
13050	149375	450	625
13650	85625	450	625
13050	15625	450	625
13650	99375	450	625
10050	86875	450	625
13050	66875	450	625
13050	1875	450	625
13050	40625	450	625
13050	43125	450	625
13950	75625	450	625
13050	26875	450	625
13650	135625	450	625
13350	124375	450	625
13350	68125	450	625
13950	43125	450	625
13350	146875	450	625
13350	35625	450	625
13950	15625	450	625
13350	51875	450	625
