# center_x	center_y	half_width	half_height
370853	139163	450	625
98632	16702	450	625
316956	107351	450	625
261292	121381	450	625
325842	43790	450	625
81598	23648	450	625
405406	91195	450	625
261776	142071	450	625
405480	107951	450	625
312619	146657	450	625
110092	6443	450	625
222106	128168	450	625
307973	93592	450	625
263919	63320	450	625
176659	37460	450	625
307995	47137	450	625
3623	66804	450	625
410491	125356	450	625
266056	10908	450	625
410390	135023	450	625
323298	52513	450	625
63123	125182	450	625
54460	142225	450	625
318053	137466	450	625
356476	142649	450	625
357175	141093	450	625
366145	147006	450	625
127814	14195	450	625
20550	99558	450	625
205168	18134	450	625
428118	98588	450	625
308723	85918	450	625
26292	124339	450	625
337674	111825	450	625
18648	79689	450	625
12100	112823	450	625
325203	99549	450	625
219857	48188	450	625
400274	126936	450	625
403606	113627	450	625
296437	13207	450	625
351172	112707	450	625
446565	67411	450	625
7055	94841	450	625
413369	49048	450	625
228327	76264	450	625
268036	22876	450	625
401082	85305	450	625
341415	145734	450	625
172031	54740	450	625
135823	138008	450	625
308716	129903	450	625
302209	99598	450	625
426044	22760	450	625
172986	130127	450	625
129587	39549	450	625
260786	12785	450	625
238508	69929	450	625
44896	123788	450	625
280970	19443	450	625
21788	122374	450	625
427607	92749	450	625
152850	30167	450	625
169507	142991	450	625
237801	69215	450	625
439683	23001	450	625
111023	59324	450	625
441357	66458	450	625
362123	97378	450	625
222218	79486	450	625
367405	148483	450	625
111035	64869	450	625
396568	115921	450	625
5898	13741	450	625
180461	71845	450	625
48936	106575	450	625
381519	124121	450	625
56076	111747	450	625
433088	71408	450	625
156490	102466	450	625
131123	146498	450	625
172367	47772	450	625
451075	50649	450	625
219382	58775	450	625
151479	126325	450	625
18661	69562	450	625
378760	29574	450	625
274931	57753	450	625
64595	41506	450	625
344647	6881	450	625
174403	99908	450	625
11308	1599	450	625
455481	6810	450	625
218146	-6	450	625
293118	62113	450	625
208460	69367	450	625
77312	205	450	625
230391	36112	450	625
122406	75998	450	625
448087	43511	450	625
455375	5425	450	625
356773	20561	450	625
181799	19781	450	625
258466	31019	450	625
40387	66790	450	625
55453	19267	450	625
103199	68338	450	625
356066	12405	450	625
155648	57090	450	625
96252	3892	450	625
76703	110089	450	625
437011	100092	450	625
270894	107379	450	625
267756	84026	450	625
245029	3368	450	625
231189	1481	450	625
310446	12887	450	625
204894	117270	450	625
326168	95586	450	625
302642	16832	450	625
172976	30820	450	625
188051	101352	450	625
446358	52194	450	625
420210	97184	450	625
246184	43139	450	625
157276	765	450	625
406528	18964	450	625
62257	35800	450	625
389543	9339	450	625
198578	3749	450	625
152359	91992	450	625
5330	16730	450	625
102879	100750	450	625
40201	60424	450	625
237588	54568	450	625
402308	52741	450	625
264940	108584	450	625
272094	29175	450	625
240978	112481	450	625
441159	42340	450	625
357972	-288	450	625
416757	2877	450	625
341928	66839	450	625
112277	67896	450	625
373030	81380	450	625
36397	5867	450	625
304624	-247	450	625
116049	122880	450	625
252103	1227	450	625
443256	69116	450	625
84447	105189	450	625
6757	136412	450	625
84925	48228	450	625
188540	68581	450	625
120361	136576	450	625
419773	10358	450	625
355989	149255	450	625
349336	77842	450	625
422046	125390	450	625
78391	136902	450	625
357823	62013	450	625
448321	74172	450	625
156666	9995	450	625
176453	85146	450	625
284623	2034	450	625
26314	140495	450	625
114276	48397	450	625
282460	87378	450	625
354777	136525	450	625
110459	101964	450	625
207201	111509	450	625
